"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310","","","","",""
"      Laranja-seleta","0.121","0.138","0.070","0.115","0.091","0.204","0.228","","","","",""
"      Outras laranjas","0.866","0.634","0.706","0.901","0.865","1.265","1.537","","","","",""
"      Limão comum","0.809","0.276","0.461","0.770","1.073","1.661","2.314","","","","",""
"      Mamão","1.795","0.651","0.966","1.386","2.444","4.362","5.960","","","","",""
"      Manga","1.188","0.620","0.902","1.017","1.538","2.265","2.887","","","","",""
"      Maracujá","0.446","0.285","0.333","0.483","0.483","0.678","0.803","","","","",""
"      Melancia","2.645","1.490","2.228","2.505","3.163","5.288","4.591","","","","",""
"      Melão","0.835","0.307","0.467","0.629","1.143","1.793","3.008","","","","",""
"      Tangerina","0.987","0.403","0.571","1.004","1.315","1.734","2.536","","","","",""
"      Outras","0.382","0.327","0.350","0.347","0.318","0.456","0.918","","","","",""
"   Frutas de clima temperado","3.767","1.910","2.469","3.536","5.008","7.005","8.725","","","","",""
"      Ameixa","0.106","0.017","0.054","0.094","0.127","0.344","0.328","","","","",""
"      Caqui","0.161","0.079","0.059","0.131","0.246","0.337","0.507","","","","",""
"      Maçã","2.120","1.165","1.595","2.070","2.882","3.444","3.983","","","","",""
"      Morango","0.142","0.022","0.056","0.132","0.214","0.333","0.482","","","","",""
"      Pera","0.320","0.090","0.167","0.301","0.431","0.716","0.964","","","","",""
"      Pêssego","0.152","0.027","0.068","0.135","0.198","0.428","0.520","","","","",""
"      Uva","0.668","0.487","0.444","0.579","0.789","1.125","1.606","","","","",""
"      Outras","0.098","0.023","0.026","0.095","0.121","0.278","0.336","","","","",""
"Cocos, castanhas e nozes","1.154","1.233","1.139","1.051","1.227","1.093","1.338","","","","",""
"   Cocos","1.076","1.205","1.118","0.988","1.128","0.952","0.972","","","","",""
"      Açaí (emulsão)","0.918","1.092","0.969","0.873","0.937","0.724","0.553","","","","",""
"      Coco-da-baía","0.111","0.080","0.096","0.071","0.133","0.166","0.360","","","","",""
"      Outros","0.048","0.033","0.053","0.045","0.057","0.062","0.060","","","","",""
"   Castanhas e nozes","0.078","0.028","0.022","0.063","0.099","0.140","0.366","","","","",""
"Farinhas, féculas e massas","11.935","12.897","12.245","11.493","10.988","11.165","13.001","","","","",""
"   Farinhas","4.769","5.376","5.137","4.691","4.186","4.057","4.149","","","","",""
"      Farinha de mandioca","2.332","3.828","3.092","1.859","1.391","0.994","1.025","","","","",""
"      Farinha de rosca","0.062","0.017","0.032","0.075","0.097","0.086","0.125","","","","",""
"      Farinha de trigo","2.229","1.428","1.899","2.622","2.561","2.822","2.537","","","","",""
"      Farinha vitaminada","0.055","0.030","0.051","0.056","0.060","0.046","0.147","","","","",""
"      Outras","0.091","0.072","0.062","0.080","0.076","0.108","0.315","","","","",""
"   Féculas","3.299","4.093","3.426","2.925","2.751","2.821","3.876","","","","",""
"      Amido de milho","0.074","0.044","0.068","0.076","0.065","0.122","0.149","","","","",""
"      Creme de arroz","0.135","0.189","0.138","0.137","0.092","0.111","0.053","","","","",""
"      Creme de milho","0.042","0.083","0.065","0.022","0.023","0.005","0.014","","","","",""
"      Fécula de mandioca","0.797","0.715","0.808","0.767","0.838","0.778","1.119","","","","",""
"      Flocos de aveia","0.068","0.026","0.064","0.052","0.093","0.101","0.209","","","","",""
"      Flocos de milho","0.765","0.765","0.710","0.667","0.680","0.868","1.503","","","","",""
"      Flocos de outros cereais","0.131","0.110","0.125","0.113","0.131","0.154","0.284","","","","",""
"      Fubá de milho","1.285","2.159","1.446","1.088","0.828","0.665","0.524","","","","",""
"      Outras","0.004","0.001","-","0.002","0.002","0.016","0.022","","","","",""
"   Massas","3.866","3.427","3.682","3.876","4.051","4.287","4.975","","","","",""
"      Macarrão com ovos","0.809","0.617","0.747","0.916","0.845","1.024","0.807","","","","",""
"      Macarrão não especificado","1.533","1.711","1.657","1.468","1.366","1.157","1.675","","","","",""
"      Macarrão sem ovos","0.775","0.900","0.778","0.791","0.730","0.544","0.605","","","","",""
"      Massa de lasanha","0.195","0.080","0.127","0.164","0.308","0.410","0.450","","","","",""
"      Massa de pastel","0.138","0.042","0.077","0.167","0.228","0.147","0.275","","","","",""
"      Massa de pizza","0.216","0.044","0.177","0.212","0.290","0.532","0.437","","","","",""
"      Outras","0.199","0.032","0.119","0.159","0.284","0.472","0.726","","","","",""
