"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310","","","","",""
"      Gelatina","0.037","0.015","0.024","0.046","0.039","0.047","0.098","","","","",""
"      Mel de abelha","0.034","0.007","0.031","0.034","0.032","0.065","0.120","","","","",""
"      Polpa de fruta","0.223","0.082","0.166","0.197","0.241","0.406","0.757","","","","",""
"      Outros","0.018","0.014","0.006","0.017","0.026","0.041","0.028","","","","",""
"Sais e condimentos","4.506","3.291","3.812","4.568","5.260","5.807","7.209","","","","",""
"   Sais","1.537","1.615","1.505","1.529","1.502","1.360","1.665","","","","",""
"      Sal grosso","0.153","0.083","0.136","0.152","0.194","0.218","0.291","","","","",""
"      Sal refinado","1.350","1.515","1.354","1.357","1.239","1.054","1.298","","","","",""
"      Outros","0.034","0.016","0.016","0.020","0.069","0.088","0.076","","","","",""
"   Condimentos","2.969","1.677","2.306","3.039","3.758","4.447","5.544","","","","",""
"      Caldo de carne em tablete","0.021","0.012","0.019","0.022","0.018","0.031","0.053","","","","",""
"      Caldo de galinha em tablete","0.034","0.022","0.030","0.041","0.034","0.052","0.043","","","","",""
"      Outros caldos em tablete","0.025","0.012","0.013","0.021","0.023","0.034","0.119","","","","",""
"      Colorau","0.065","0.084","0.084","0.063","0.046","0.028","0.031","","","","",""
"      Fermento","0.050","0.024","0.049","0.053","0.052","0.072","0.096","","","","",""
"      Leite de coco","0.066","0.021","0.037","0.074","0.063","0.101","0.224","","","","",""
"      Maionese","0.393","0.159","0.290","0.408","0.568","0.667","0.725","","","","",""
"      Massa de tomate","0.368","0.261","0.328","0.390","0.427","0.473","0.495","","","","",""
"      Molho de tomate","0.948","0.459","0.687","1.000","1.257","1.573","1.738","","","","",""
"      Tempero misto","0.117","0.074","0.132","0.102","0.144","0.109","0.244","","","","",""
"      Vinagre de álcool","0.287","0.184","0.234","0.313","0.387","0.321","0.390","","","","",""
"      Vinagre de vinho","0.061","0.047","0.032","0.070","0.055","0.120","0.098","","","","",""
"      Vinagre não especificado","0.164","0.101","0.115","0.166","0.220","0.147","0.397","","","","",""
"      Outros","0.369","0.217","0.259","0.317","0.464","0.719","0.890","","","","",""
"Óleos e gorduras","6.642","5.678","6.284","7.034","7.199","7.154","7.146","","","","",""
"   Óleos","5.329","4.604","5.070","5.589","5.707","5.719","5.946","","","","",""
"      Azeite de oliva","0.270","0.050","0.129","0.207","0.354","0.675","1.126","","","","",""
"      Óleo de girassol","0.135","0.046","0.087","0.091","0.213","0.129","0.618","","","","",""
"      Óleo de canola","0.051","0.014","0.005","0.034","0.036","0.184","0.299","","","","",""
"      Óleo de milho","0.158","0.100","0.110","0.112","0.219","0.370","0.364","","","","",""
"      Óleo de soja","4.581","4.278","4.650","5.001","4.742","4.206","3.316","","","","",""
"      Óleo não especificado","0.068","0.080","0.039","0.082","0.064","0.054","0.068","","","","",""
"      Outros","0.065","0.037","0.050","0.062","0.078","0.100","0.155","","","","",""
"   Gorduras","1.313","1.074","1.214","1.445","1.492","1.436","1.200","","","","",""
"      Banha de porco","0.082","0.054","0.050","0.115","0.095","0.085","0.070","","","","",""
"      Margarina vegetal","1.229","1.020","1.162","1.328","1.393","1.350","1.126","","","","",""
"      Outras","0.002","0.001","0.003","0.002","0.005","-","0.003","","","","",""
"Bebidas e infusões","52.475","32.221","40.517","47.841","65.046","88.269","112.841","","","","",""
"   Bebidas alcoólicas","6.724","2.043","3.569","6.209","9.442","15.683","18.715","","","","",""
"      Aguardente de cana","0.146","0.168","0.154","0.133","0.113","0.135","0.197","","","","",""
"      Outras aguardentes","0.002","0.000","-","0.005","0.002","-","-","","","","",""
"      Cerveja","5.907","1.713","3.157","5.610","8.694","13.314","15.411","","","","",""
"      Vinho","0.476","0.096","0.173","0.312","0.490","1.709","2.170","","","","",""
"      Outras","0.193","0.066","0.086","0.149","0.143","0.524","0.937","","","","",""
"   Bebidas não alcoólicas","42.723","27.667","34.135","38.604","52.478","69.118","89.400","","","","",""
"      Água mineral","25.851","19.830","22.710","21.524","29.550","37.378","56.674","","","","",""
"      Refrigerante de cola","6.764","2.920","4.702","6.726","10.060","12.491","12.351","","","","",""
"      Refrigerante de guaraná","3.577","2.004","2.750","4.010","4.508","5.747","4.715","","","","",""
"      Refrigerante de laranja","0.974","0.705","0.842","1.076","1.193","1.288","0.921","","","","",""
"      Refrigerante de limão","0.521","0.155","0.285","0.559","0.683","1.198","1.179","","","","",""
"      Refrigerante de maçã","0.013","0.002","0.029","0.020","0.006","0.003","-","","","","",""
"      Refrigerante de uva","0.206","0.169","0.242","0.223","0.162","0.234","0.217","","","","",""
"      Bebida energética","0.156","0.025","0.047","0.143","0.314","0.286","0.468","","","","",""
"      Refrigerante não especificado","1.312","0.831","0.984","1.406","1.646","2.088","1.835","","","","",""
"      Outros refrigerantes","0.429","0.137","0.252","0.497","0.336","0.871","1.352","","","","",""
"      Suco de fruta em pó","0.264","0.216","0.265","0.300","0.302","0.248","0.166","","","","",""
"      Suco de fruta envasado","2.050","0.457","0.916","1.587","3.189","5.309","7.040","","","","",""
"      Outras","0.606","0.216","0.111","0.533","0.528","1.977","2.481","","","","",""
"   Cafés","2.561","2.310","2.488","2.563","2.549","2.784","3.414","","","","",""
"      Café moído","2.384","2.215","2.369","2.405","2.353","2.518","2.832","","","","",""
"      Café solúvel","0.078","0.039","0.054","0.072","0.101","0.127","0.203","","","","",""
"      Outros","0.099","0.055","0.064","0.086","0.095","0.139","0.379","","","","",""
"   Chás","0.467","0.201","0.324","0.465","0.577","0.684","1.313","","","","",""
"      Chá-mate","0.411","0.189","0.314","0.414","0.537","0.562","0.982","","","","",""
"      Outros","0.056","0.012","0.011","0.051","0.040","0.121","0.331","","","","",""
"Alimentos preparados e misturas industriais","3.992","1.454","2.445","3.713","5.524","7.313","11.457","","","","",""
"   Alimentos preparados","3.750","1.335","2.216","3.450","5.155","7.055","11.164","","","","",""
"      Alimento congelado","0.314","0.058","0.136","0.375","0.302","1.062","0.656","","","","",""
"      Batata frita","0.150","0.043","0.095","0.151","0.254","0.286","0.280","","","","",""
"      Carne-assada","0.102","0.031","0.058","0.096","0.170","0.227","0.215","","","","",""
"      Frango assado ou defumado","0.627","0.387","0.415","0.718","0.784","0.997","0.842","","","","",""
"      Frango empanado","0.089","0.066","0.069","0.109","0.119","0.063","0.085","","","","",""
"      Massa","0.667","0.124","0.239","0.522","1.106","0.919","3.164","","","","",""
"      Refeição","0.737","0.304","0.712","0.600","1.073","1.109","1.822","","","","",""
"      Salgadinho","0.244","0.090","0.132","0.265","0.261","0.387","0.793","","","","",""
"      Sanduíche","0.091","0.033","0.031","0.063","0.119","0.140","0.482","","","","",""
"      Outros","0.728","0.201","0.328","0.552","0.968","1.864","2.824","","","","",""
"   Misturas industriais","0.242","0.119","0.229","0.262","0.368","0.258","0.294","","","","",""
"      Mistura para bolo","0.226","0.103","0.213","0.251","0.333","0.252","0.282","","","","",""
"      Outras","0.017","0.016","0.016","0.011","0.036","0.007","0.011","","","","",""
"Outros produtos","0.008","0.004","0.006","0.007","0.013","0.012","0.019","","","","",""
