"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Refrigerante de limão,"0,056","0,013","0,043","0,053","0,061","0,028","0,729"
      Refrigerante de maçã,-,-,-,-,-,-,-
      Refrigerante de uva,"0,155","0,102","0,095","0,260","0,167","0,032","0,372"
      Bebida energética,"0,035","0,022","0,028","0,035","0,049","0,044","0,180"
      Refrigerante não especificado,"0,944","0,884","0,638","0,996","1,344","1,238","1,719"
      Outros refrigerantes,"0,067","0,093","0,046","0,057","0,064","0,037","0,020"
      Suco de fruta em pó,"0,177","0,182","0,177","0,168","0,197","0,121","0,194"
      Suco de fruta envasado,"0,508","0,229","0,470","0,535","1,064","0,566","2,148"
      Outras,"0,762","1,032","0,165","0,746","0,383","0,265","3,574"
   Cafés,"2,107","2,051","2,164","2,081","2,281","2,249","1,899"
      Café moído,"2,048","1,998","2,107","2,051","2,166","2,150","1,708"
      Café solúvel,"0,013","0,006","0,011","0,008","0,033","0,051","0,061"
      Outros,"0,046","0,048","0,047","0,022","0,082","0,049","0,130"
   Chás,"0,044","0,020","0,003","0,074","0,042","0,023","0,383"
      Chá-mate,"0,037","0,018","0,003","0,073","0,036","0,021","0,190"
      Outros,"0,007","0,002","0,000","0,002","0,006","0,001","0,193"
Alimentos preparados e misturas industriais,"2,635","1,594","2,454","3,215","3,993","5,109","4,323"
   Alimentos preparados,"2,436","1,394","2,282","3,039","3,657","4,787","4,297"
      Alimento congelado,"0,017","0,004","0,016","0,016","0,036","0,073","0,081"
      Batata frita,"0,034","0,013","0,031","0,033","0,012","0,251","0,151"
      Carne-assada,"0,147","0,055","0,095","0,257","0,291","0,252","0,047"
      Frango assado ou defumado,"1,042","0,684","1,059","1,329","1,596","1,033","0,901"
      Frango empanado,"0,107","0,132","0,106","0,060","0,205",-,"0,042"
      Massa,"0,174","0,047","0,188","0,198","0,271","0,709","0,536"
      Refeição,"0,382","0,158","0,250","0,536","0,667","1,439","0,562"
      Salgadinho,"0,131","0,072","0,105","0,184","0,034","0,436","0,545"
      Sanduíche,"0,024","0,013","0,036","0,030","0,008","0,062","0,027"
      Outros,"0,378","0,215","0,396","0,397","0,538","0,532","1,405"
   Misturas industriais,"0,200","0,200","0,173","0,175","0,336","0,321","0,025"
      Mistura para bolo,"0,177","0,160","0,150","0,163","0,335","0,321","0,025"
      Outras,"0,023","0,040","0,022","0,013","0,001",-,-
Outros produtos,"0,014","0,006","0,015","0,028","0,003","0,019","0,013"
