"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
   Frutas de clima temperado,"3,518","2,568","2,023","3,176","3,789","4,832","6,836"
      Ameixa,"0,132","0,095","0,092","0,151","0,030","0,198","0,292"
      Caqui,"0,147","0,422","0,032","0,086","0,080","0,301","0,160"
      Maçã,"2,090","1,686","1,366","2,017","2,182","2,502","3,530"
      Morango,"0,121","0,013","0,050","0,084","0,133","0,331","0,326"
      Pera,"0,335","0,102","0,179","0,173","0,399","0,546","1,165"
      Pêssego,"0,072","0,008","0,046","0,070","0,093","0,185","0,095"
      Uva,"0,544","0,204","0,237","0,543","0,635","0,698","1,207"
      Outras,"0,078","0,038","0,021","0,052","0,237","0,070","0,061"
"Cocos, castanhas e nozes","0,317","0,114","0,172","0,231","0,452","0,590","0,695"
   Cocos,"0,261","0,110","0,165","0,191","0,411","0,481","0,457"
      Açaí (emulsão),"0,100","0,015","0,014","0,098","0,109","0,210","0,262"
      Coco-da-baía,"0,113","0,080","0,075","0,053","0,242","0,258","0,112"
      Outros,"0,048","0,014","0,076","0,040","0,060","0,013","0,083"
   Castanhas e nozes,"0,056","0,005","0,007","0,040","0,041","0,109","0,238"
"Farinhas, féculas e massas","7,675","6,182","6,974","6,990","7,532","9,081","12,182"
   Farinhas,"2,523","1,828","2,334","2,568","2,528","2,839","3,343"
      Farinha de mandioca,"0,595","0,584","0,611","0,526","0,635","0,652","0,706"
      Farinha de rosca,"0,041","0,022","0,040","0,024","0,062","0,030","0,095"
      Farinha de trigo,"1,742","1,205","1,661","1,997","1,765","1,769","1,677"
      Farinha vitaminada,"0,025",-,"0,010","0,005","0,020","0,104","0,100"
      Outras,"0,120","0,016","0,013","0,015","0,046","0,284","0,765"
   Féculas,"2,141","1,892","1,857","1,716","2,120","3,021","3,727"
      Amido de milho,"0,065","0,043","0,047","0,085","0,082","0,022","0,056"
      Creme de arroz,"0,107","0,112","0,201","0,089","0,076","0,154","0,035"
      Creme de milho,"0,010","0,015","0,025","0,012",-,-,-
      Fécula de mandioca,"0,792","0,804","0,661","0,535","0,850","1,010","1,578"
      Flocos de aveia,"0,092","0,037","0,076","0,029","0,046","0,236","0,366"
      Flocos de milho,"0,479","0,273","0,289","0,420","0,355","0,798","1,207"
      Flocos de outros cereais,"0,121","0,035","0,084","0,166","0,071","0,308","0,099"
      Fubá de milho,"0,474","0,572","0,473","0,382","0,641","0,479","0,386"
      Outras,"0,001",-,-,-,-,"0,016",-
   Massas,"3,011","2,462","2,783","2,706","2,884","3,220","5,112"
      Macarrão com ovos,"0,407","0,314","0,429","0,381","0,363","0,408","0,645"
      Macarrão não especificado,"1,068","1,181","1,066","1,057","0,986","1,003","1,126"
      Macarrão sem ovos,"0,658","0,728","0,798","0,624","0,815","0,347","0,432"
      Massa de lasanha,"0,196","0,130","0,119","0,163","0,298","0,121","0,394"
      Massa de pastel,"0,136","0,039","0,064","0,176","0,102","0,215","0,242"
      Massa de pizza,"0,177","0,067","0,031","0,173","0,147","0,175","0,599"
      Outras,"0,370","0,004","0,276","0,132","0,172","0,951","1,675"
Panificados,"14,331","10,248","12,237","13,009","15,677","17,053","23,216"
   Pães,"9,807","7,039","8,308","9,231","11,261","11,107","14,448"
      Pão caseiro,"0,168","0,173","0,172","0,180","0,154","0,163","0,144"
      Pão de forma de padaria,"0,099","0,030","0,046","0,112","0,119","0,280","0,074"
      Pão de forma industrializado,"0,625","0,349","0,185","0,358","0,599","1,212","2,167"
      Pão de milho,"0,032","0,009","0,041","0,032","0,012","0,058","0,059"
      Pão de queijo,"0,679","0,400","0,452","0,816","0,707","0,888","0,755"
      Pão doce,"0,594","0,325","0,605","0,491","0,432","0,791","1,378"
      Pão francês,"6,993","5,442","6,605","6,844","8,222","6,877","8,265"
      Pão integral,"0,261","0,095","0,102","0,166","0,422","0,426","0,665"
      Torrada,"0,061","0,044","0,015","0,023","0,103","0,099","0,193"
      Outros,"0,295","0,171","0,084","0,208","0,490","0,312","0,749"
   Bolos,"0,825","0,417","0,621","0,545","0,665","1,721","2,219"
"   Biscoitos, roscas, etc.","3,699","2,791","3,308","3,233","3,750","4,225","6,549"
      Biscoito doce,"1,619","1,364","1,320","1,338","1,639","2,230","2,881"
      Biscoito não especificado,"0,163","0,155","0,047","0,092","0,110","0,322","0,557"
      Biscoito salgado,"1,357","0,817","1,320","1,283","1,364","1,279","2,394"
      Rosca doce,"0,443","0,356","0,416","0,401","0,626","0,200","0,616"
      Rosca não especificada,"0,103","0,100","0,188","0,113","0,012","0,121","0,077"
      Rosca salgada,"0,001",-,-,"0,001",-,-,"0,007"
