"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Outros refrigerantes,"0,234","0,145","0,111","0,365","0,104","0,196","0,338"
      Suco de fruta em pó,"0,358","0,339","0,345","0,392","0,286","0,657","0,205"
      Suco de fruta envasado,"2,372","1,119","0,715","1,173","3,539","4,312","7,323"
      Outras,"0,469","0,048","0,105","0,413","0,418","0,446","1,844"
   Cafés,"2,451","2,122","2,665","2,230","2,675","2,035","3,200"
      Café moído,"2,275","2,047","2,589","2,098","2,562","1,962","2,437"
      Café solúvel,"0,051","0,025","0,027","0,037","0,089","0,061","0,102"
      Outros,"0,125","0,050","0,048","0,095","0,023","0,012","0,661"
   Chás,"0,430","0,360","0,331","0,513","0,542","0,248","0,348"
      Chá-mate,"0,407","0,359","0,330","0,505","0,508","0,228","0,226"
      Outros,"0,023","0,001","0,001","0,008","0,033","0,020","0,122"
Alimentos preparados e misturas industriais,"3,768","1,591","2,231","3,459","4,523","4,667","8,166"
   Alimentos preparados,"3,382","1,483","1,918","3,081","3,912","3,957","7,841"
      Alimento congelado,"0,305","0,106","0,168","0,196","0,311","0,352","1,082"
      Batata frita,"0,108","0,073","0,023","0,087","0,159","0,193","0,219"
      Carne-assada,"0,119","0,067","0,041","0,099","0,262","0,041","0,207"
      Frango assado ou defumado,"0,616","0,215","0,247","0,567","1,061","0,815","1,037"
      Frango empanado,"0,052","0,023","0,018","0,051","0,088","0,033","0,100"
      Massa,"0,513","0,136","0,256","0,610","0,476","0,376","1,220"
      Refeição,"0,759","0,311","0,724","0,720","0,603","0,827","1,708"
      Salgadinho,"0,241","0,238","0,224","0,200","0,231","0,116","0,505"
      Sanduíche,"0,090","0,011","0,041","0,067","0,159","0,312","0,088"
      Outros,"0,579","0,303","0,178","0,483","0,563","0,892","1,675"
   Misturas industriais,"0,386","0,107","0,312","0,379","0,611","0,710","0,325"
      Mistura para bolo,"0,381","0,107","0,309","0,374","0,611","0,684","0,317"
      Outras,"0,005",-,"0,003","0,005",-,"0,027","0,008"
Outros produtos,"0,013","0,026","0,005","0,004","0,031",-,"0,018"
