"Alimento","Região Nordeste",Maranhão,Piauí,Ceará,"Rio Grande do Norte",Paraíba,"Pernambuco",Alagoas,Sergipe,Bahia
      Banana-da-terra,"1,053","0,273","0,256","0,089","0,973","0,568","1,361","0,442","0,513","2,363"
      Banana-maçã,"0,147","0,050","0,455","0,142","0,337","0,250","0,085","0,036","0,093","0,127"
      Banana-ouro,"0,001",-,-,-,-,-,-,-,"0,004","0,002"
      Banana-prata,"4,223","2,537","5,405","4,172","2,814","2,767","4,134","2,296","6,575","5,640"
      Outras bananas,"1,117","1,687","0,502","1,344","1,905","1,525","0,731","2,028","1,794","0,488"
      Goiaba,"0,719","0,097","0,485","1,169","1,149","0,534","0,674","0,552","1,395","0,698"
      Laranja-baía,"0,063",-,"0,011",-,"0,020","0,012","0,015","0,003","0,012","0,220"
      Laranja-lima,"0,486","0,467","1,660","0,235","0,413","0,848","0,357","0,297","0,361","0,454"
      Laranja-pera,"1,690","0,905","2,815","1,050","2,053","1,951","2,377","1,076","1,807","1,733"
      Laranja-seleta,"0,062",-,"0,006","0,030","0,028","0,012",-,-,-,"0,207"
      Outras laranjas,"0,886","1,268","0,546","0,698","1,224","0,987","0,722","0,527","1,418","0,893"
      Limão comum,"0,412","0,443","0,177","0,251","0,442","0,292","0,368","0,180","0,483","0,641"
      Mamão,"1,375","0,550","0,885","1,149","2,025","1,710","1,743","0,724","1,895","1,602"
      Manga,"1,028","0,408","1,037","0,747","0,627","1,232","0,991","0,678","1,780","1,519"
      Maracujá,"0,740","0,289","0,891","0,725","1,205","0,424","0,599","0,521","1,886","0,868"
      Melancia,"2,605","3,262","5,934","1,356","2,143","1,753","2,104","1,814","3,128","3,079"
      Melão,"0,870","0,671","0,712","0,466","1,338","1,035","1,177","0,401","1,021","0,977"
      Tangerina,"0,395","0,267","0,411","0,244","0,408","0,215","0,418","0,179","0,764","0,565"
      Outras,"0,467","0,153","0,860","0,183","0,546","0,355","0,586","0,234","0,904","0,623"
   Frutas de clima temperado,"2,806","1,711","2,812","2,475","3,261","2,781","3,020","1,635","4,656","3,269"
      Ameixa,"0,043","0,021","0,045","0,009","0,086","0,034","0,061","0,021","0,076","0,055"
      Caqui,"0,012",-,"0,013","0,018","0,010","0,013","0,003",-,"0,015","0,021"
