"Alimento","Região Centro Oeste","Mato Grosso do Sul",Mato Grosso,Goiás,Distrito Federal
      Amido de milho,"0,065","0,064","0,093","0,067","0,029"
      Creme de arroz,"0,107","0,062","0,106","0,123","0,112"
      Creme de milho,"0,010","0,003",-,"0,018","0,012"
      Fécula de mandioca,"0,792","0,371","0,519","0,688","1,726"
      Flocos de aveia,"0,092","0,089","0,138","0,051","0,136"
      Flocos de milho,"0,479","0,219","0,094","0,229","1,736"
      Flocos de outros cereais,"0,121","0,055","0,023","0,136","0,259"
      Fubá de milho,"0,474","0,564","0,462","0,448","0,467"
      Outras,"0,001","0,007",-,-,-
   Massas,"3,011","3,473","2,671","3,174","2,603"
      Macarrão com ovos,"0,407","0,480","0,450","0,308","0,523"
      Macarrão não especificado,"1,068","1,387","0,792","1,143","0,919"
      Macarrão sem ovos,"0,658","0,826","0,765","0,691","0,307"
      Massa de lasanha,"0,196","0,202","0,117","0,162","0,358"
      Massa de pastel,"0,136","0,248","0,127","0,102","0,125"
      Massa de pizza,"0,177","0,110","0,179","0,177","0,235"
      Outras,"0,370","0,219","0,242","0,591","0,136"
Panificados,"14,331","14,088","10,557","14,801","17,760"
   Pães,"9,807","10,532","6,995","9,941","12,053"
      Pão caseiro,"0,168","0,314","0,376","0,074","0,021"
      Pão de forma de padaria,"0,099","0,116","0,190","0,066","0,058"
      Pão de forma industrializado,"0,625","0,424","0,786","0,458","1,010"
      Pão de milho,"0,032","0,051","0,019","0,033","0,027"
      Pão de queijo,"0,679","0,079","0,524","0,968","0,723"
      Pão doce,"0,594","0,627","0,385","0,530","0,951"
      Pão francês,"6,993","8,499","4,223","7,317","8,038"
      Pão integral,"0,261","0,200","0,132","0,263","0,456"
      Torrada,"0,061","0,046","0,026","0,068","0,101"
      Outros,"0,295","0,175","0,333","0,163","0,667"
   Bolos,"0,825","0,835","0,425","0,881","1,141"
"   Biscoitos, roscas, etc.","3,699","2,722","3,137","3,980","4,566"
      Biscoito doce,"1,619","1,428","1,446","1,610","2,011"
      Biscoito não especificado,"0,163","0,173","0,058","0,122","0,369"
      Biscoito salgado,"1,357","0,945","1,182","1,459","1,691"
      Rosca doce,"0,443","0,132","0,326","0,647","0,385"
      Rosca não especificada,"0,103","0,014","0,114","0,136","0,096"
      Rosca salgada,"0,001",-,-,"0,001","0,004"
      Outros,"0,012","0,030","0,012","0,005","0,010"
Carnes,"24,503","29,494","24,354","25,724","17,325"
   Carnes bovinas de primeira,"7,121","6,697","5,842","8,930","4,749"
      Alcatra,"0,598","0,795","0,214","0,622","0,803"
      Carne moída,"0,295","0,282","0,413","0,255","0,264"
      Carne não especificada,"2,788","3,187","3,102","3,225","1,055"
      Chã de dentro,"0,613","0,672","0,620","0,418","1,005"
      Contrafilé,"1,945","0,832","0,655","3,579","0,612"
      Filé-mignon,"0,111","0,091","0,172","0,047","0,209"
      Lagarto comum,"0,420","0,625","0,237","0,466","0,334"
      Lagarto redondo,-,-,-,-,-
      Patinho,"0,351","0,213","0,429","0,317","0,468"
   Carnes bovinas de segunda,"6,292","9,963","6,499","5,840","3,794"
      Acém,"0,672","0,732","0,436","0,693","0,836"
      Capa de filé,"0,311","0,527","0,299","0,253","0,262"
      Carne moída,"0,445","0,902","0,491","0,392","0,104"
      Carne não especificada,"1,360","2,443","1,447","1,295","0,435"
      Costela,"1,748","2,926","2,169","1,467","0,861"
      Músculo,"0,622","0,437","0,539","0,775","0,527"
      Pá,"0,352","0,562","0,447","0,224","0,354"
      Peito,"0,178","0,303","0,267","0,102","0,142"
      Outras,"0,604","1,132","0,403","0,640","0,273"
   Carnes bovinas outras,"3,830","5,661","3,865","3,500","2,906"
      Carne de hambúrguer,"0,041","0,031","0,030","0,014","0,127"
      Carne de sol,"0,154","0,095","0,022","0,141","0,390"
      Carne moída não especificada,"0,568","0,697","0,483","0,659","0,334"
      Carne não especificada,"1,670","2,796","2,233","1,301","0,873"
      Carne-seca,"0,072","0,103","0,098","0,042","0,082"
      Mocotó,"0,070","0,095","0,097","0,078",-
      Outras,"1,254","1,845","0,902","1,264","1,100"
   Carnes suínas com osso e sem osso,"3,163","2,177","4,063","3,563","2,096"
      Carré,"0,308","0,404","0,399","0,137","0,515"
      Costela,"0,455","0,365","0,284","0,567","0,474"
      Lombo,"0,204","0,042","0,005","0,374","0,185"
      Pernil,"0,401","0,154","0,213","0,481","0,651"
      Porco eviscerado,"0,325","0,211","0,698","0,325",-
      Outras,"1,470","1,003","2,464","1,679","0,271"
   Carnes suínas outras,"1,859","2,439","1,788","1,685","1,821"
      Carne salgada não especificada,"0,021","0,022","0,020","0,012","0,044"
      Costela de porco salgada,"0,001",-,-,-,"0,003"
      Mortadela,"0,419","0,674","0,524","0,352","0,224"
      Paio,"0,002","0,003","0,007",-,-
      Pé de porco salgado,"0,004",-,"0,013",-,"0,009"
      Presunto,"0,449","0,525","0,469","0,354","0,581"
      Salame,"0,096","0,093","0,103","0,112","0,051"
      Salsicha comum,"0,439","0,792","0,399","0,309","0,469"
      Toucinho fresco,"0,120","0,033","0,039","0,204","0,098"
      Toucinho defumado,"0,197","0,166","0,120","0,227","0,245"
