"Alimento","Região Sul",Paraná,Santa Catarina,Rio Grande do sul
Panificados,"17,229","14,928","19,284","18,252"
   Pães,"11,809","9,870","12,467","13,341"
      Pão caseiro,"0,663","0,903","0,563","0,486"
      Pão de forma de padaria,"0,295","0,119","0,669","0,237"
      Pão de forma industrializado,"1,117","0,842","0,870","1,545"
      Pão de milho,"0,118","0,052","0,188","0,139"
      Pão de queijo,"0,189","0,224","0,241","0,122"
      Pão doce,"0,894","0,787","1,274","0,765"
      Pão francês,"7,140","5,703","7,116","8,592"
      Pão integral,"0,532","0,397","0,634","0,604"
      Torrada,"0,105","0,099","0,148","0,085"
      Outros,"0,757","0,744","0,764","0,766"
   Bolos,"1,343","1,111","1,889","1,235"
"   Biscoitos, roscas, etc.","4,076","3,948","4,927","3,676"
      Biscoito doce,"2,259","2,179","2,844","1,974"
      Biscoito não especificado,"0,193","0,321","0,169","0,079"
      Biscoito salgado,"1,296","1,213","1,313","1,368"
      Rosca doce,"0,106","0,075","0,207","0,074"
      Rosca não especificada,"0,156","0,085","0,277","0,153"
      Rosca salgada,"0,018","0,001","0,049","0,015"
      Outros,"0,049","0,074","0,067","0,013"
Carnes,"25,566","23,977","25,630","27,117"
   Carnes bovinas de primeira,"5,707","5,804","5,717","5,604"
      Alcatra,"0,716","0,654","1,012","0,593"
      Carne moída,"0,690","0,577","0,523","0,906"
      Carne não especificada,"1,700","1,276","1,801","2,061"
      Chã de dentro,"0,731","0,835","0,677","0,660"
      Contrafilé,"1,029","1,399","0,777","0,816"
      Filé-mignon,"0,193","0,202","0,320","0,105"
      Lagarto comum,"0,240","0,260","0,173","0,262"
      Lagarto redondo,"0,074","0,068","0,115","0,053"
      Patinho,"0,335","0,532","0,319","0,148"
   Carnes bovinas de segunda,"7,077","5,357","6,064","9,430"
      Acém,"0,739","0,552","0,639","0,989"
      Capa de filé,"0,197","0,269","0,194","0,128"
      Carne moída,"1,368","1,053","1,092","1,854"
      Carne não especificada,"0,976","0,838","1,060","1,064"
      Costela,"1,977","1,408","1,533","2,821"
      Músculo,"0,646","0,357","0,710","0,897"
      Pá,"0,692","0,358","0,556","1,112"
      Peito,"0,343","0,458","0,183","0,327"
      Outras,"0,139","0,066","0,098","0,237"
   Carnes bovinas outras,"2,659","2,382","3,130","2,644"
      Carne de hambúrguer,"0,217","0,160","0,349","0,193"
      Carne de sol,-,-,-,-
      Carne moída não especificada,"0,542","0,553","0,597","0,497"
      Carne não especificada,"1,316","1,025","1,648","1,400"
      Carne-seca,"0,036","0,059","0,014","0,026"
      Mocotó,"0,017","0,030","0,001","0,012"
      Outras,"0,531","0,554","0,521","0,515"
   Carnes suínas com osso e sem osso,"3,782","4,356","3,953","3,102"
      Carré,"0,912","1,219","0,938","0,589"
      Costela,"0,646","0,509","0,564","0,835"
      Lombo,"0,179","0,072","0,259","0,236"
      Pernil,"0,605","1,014","0,420","0,310"
      Porco eviscerado,"0,148","0,342","0,074",-
      Outras,"1,292","1,199","1,697","1,131"
   Carnes suínas outras,"3,690","2,945","4,064","4,202"
      Carne salgada não especificada,"0,054","0,030","0,082","0,061"
      Costela de porco salgada,-,-,-,-
      Mortadela,"0,901","0,688","1,207","0,924"
      Paio,"0,018","0,011","0,000","0,035"
      Pé de porco salgado,"0,020","0,027","0,011","0,018"
      Presunto,"0,702","0,620","0,636","0,825"
      Salame,"0,385","0,194","0,565","0,465"
      Salsicha comum,"1,219","0,926","1,166","1,545"
      Toucinho fresco,"0,068","0,069","0,081","0,060"
      Toucinho defumado,"0,188","0,274","0,186","0,103"
      Outras,"0,135","0,106","0,130","0,167"
   Carnes de outros animais,"2,651","3,134","2,702","2,137"
      Carne de cabrito,-,-,-,-
      Carne de carneiro,"0,098","0,186","0,047","0,041"
      Linguiça,"2,451","2,859","2,566","1,970"
      Outras,"0,103","0,089","0,090","0,126"
Vísceras,"0,388","0,439","0,368","0,350"
   Vísceras bovinas,"0,287","0,256","0,255","0,337"
      Bucho,"0,025","0,055","0,018",-
      Fígado,"0,119","0,158","0,100","0,091"
      Língua,"0,031","0,018","0,075","0,016"
      Outras,"0,112","0,024","0,063","0,230"
   Vísceras suínas,"0,100","0,184","0,105","0,013"
   Outras vísceras,"0,002",-,"0,008",-
Pescados,"1,043","0,860","1,273","1,083"
   Pescados de água salgada,"0,600","0,466","0,722","0,659"
      Anchova fresca,"0,023",-,"0,095",-
      Bacalhau,"0,005","0,012",-,-
      Bagre fresco,-,-,-,-
      Cação fresco,"0,006",-,-,"0,016"
