"Alimento","Região Sudeste",Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo
      Amido de milho,"0,070","0,050","0,090","0,067","0,078"
      Creme de arroz,"0,069","0,065","0,089","0,068","0,069"
      Creme de milho,"0,012","0,016","0,007","0,031","0,003"
      Fécula de mandioca,"0,396","0,660","0,291","0,256","0,336"
      Flocos de aveia,"0,069","0,047","0,036","0,038","0,094"
      Flocos de milho,"0,392","0,178","0,123","0,314","0,543"
      Flocos de outros cereais,"0,085","0,035","0,100","0,155","0,081"
      Fubá de milho,"0,784","1,212","0,723","0,756","0,603"
      Outras,"0,003","0,000",-,"0,001","0,006"
   Massas,"3,874","3,620","3,124","4,189","3,938"
      Macarrão com ovos,"1,035","1,015","0,516","0,839","1,163"
      Macarrão não especificado,"1,276","1,288","1,578","1,498","1,160"
      Macarrão sem ovos,"0,606","0,626","0,566","0,889","0,494"
      Massa de lasanha,"0,271","0,168","0,204","0,430","0,264"
      Massa de pastel,"0,135","0,099","0,055","0,118","0,165"
      Massa de pizza,"0,266","0,213","0,134","0,228","0,317"
      Outras,"0,285","0,211","0,070","0,189","0,374"
Panificados,"18,170","19,531","13,415","18,517","17,824"
   Pães,"12,943","13,155","9,195","13,828","12,838"
      Pão caseiro,"0,124","0,034","0,199","0,001","0,205"
      Pão de forma de padaria,"0,067","0,044","0,147","0,067","0,071"
      Pão de forma industrializado,"1,053","0,605","0,387","1,365","1,201"
      Pão de milho,"0,055","0,034","0,024","0,090","0,054"
      Pão de queijo,"0,321","0,711","0,100","0,071","0,253"
      Pão doce,"0,959","0,919","0,744","0,833","1,045"
      Pão francês,"9,306","9,986","6,820","10,223","8,861"
      Pão integral,"0,445","0,390","0,333","0,483","0,467"
      Torrada,"0,128","0,077","0,052","0,129","0,157"
      Outros,"0,486","0,355","0,389","0,565","0,524"
   Bolos,"0,967","1,238","0,495","0,666","0,997"
"   Biscoitos, roscas, etc.","4,260","5,138","3,725","4,024","3,989"
      Biscoito doce,"2,060","2,184","1,620","1,890","2,105"
      Biscoito não especificado,"0,162","0,272","0,181","0,145","0,117"
      Biscoito salgado,"1,665","1,930","1,524","1,813","1,499"
      Rosca doce,"0,300","0,686","0,286","0,131","0,187"
      Rosca não especificada,"0,035","0,052","0,064","0,015","0,032"
      Rosca salgada,"0,009","0,010","0,047","0,017","0,002"
      Outros,"0,028","0,003","0,003","0,013","0,047"
Carnes,"19,660","20,502","15,627","17,370","20,486"
   Carnes bovinas de primeira,"4,842","3,499","3,090","4,816","5,625"
      Alcatra,"0,807","0,421","0,466","1,825","0,632"
      Carne moída,"0,347","0,257","0,203","0,329","0,407"
      Carne não especificada,"0,929","1,284","0,548","0,697","0,885"
      Chã de dentro,"0,768","0,419","0,711","0,327","1,100"
      Contrafilé,"1,000","0,578","0,548","0,898","1,273"
      Filé-mignon,"0,146","0,065","0,063","0,213","0,165"
      Lagarto comum,"0,292","0,144","0,173","0,122","0,435"
      Lagarto redondo,"0,018",-,-,"0,090",-
      Patinho,"0,537","0,330","0,378","0,316","0,729"
   Carnes bovinas de segunda,"4,209","3,826","3,252","4,043","4,533"
      Acém,"0,962","0,649","0,635","1,006","1,118"
      Capa de filé,"0,171","0,113","0,297","0,062","0,229"
      Carne moída,"0,476","0,651","0,238","0,422","0,435"
      Carne não especificada,"0,517","0,945","0,235","0,289","0,429"
      Costela,"0,921","0,567","0,840","1,053","1,042"
      Músculo,"0,417","0,410","0,339","0,362","0,448"
      Pá,"0,390","0,239","0,359","0,268","0,509"
      Peito,"0,226","0,101","0,249","0,393","0,219"
      Outras,"0,129","0,151","0,061","0,187","0,104"
   Carnes bovinas outras,"2,488","3,563","1,754","2,357","2,104"
      Carne de hambúrguer,"0,231","0,151","0,175","0,322","0,239"
      Carne de sol,"0,044","0,114","0,037",-,"0,029"
