"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
   Outras bebidas alcoólicas,"4,12","9,68","0,45","1,60","1,20","7,19","6,01",-
   Outras,"71,46","44,27","82,56","75,96","120,97","75,92","61,10","25,30"
  Enlatados e conservas,"5,22","6,33","3,59","3,95","10,41","3,16","4,39","1,09"
  Sal e condimentos,"8,73","5,78","5,37","8,76","20,36","4,67","23,61","9,46"
   Massa de tomate,"0,38","0,12",-,"0,40","1,43","0,41","1,73",-
   Maionese,"0,80","0,38","0,52","0,64","1,84",-,"5,41","1,41"
   Sal refinado,"0,65","0,59","0,67","0,60","1,14","0,13","0,52","0,65"
   Outros,"6,90","4,69","4,18","7,12","15,95","4,13","15,95","7,40"
  Alimentos preparados,"30,80","18,19","18,43","48,61","30,15","48,07","68,98","11,97"
  Outros alimentos,"33,33","31,45","29,72","30,78","48,01","13,97","53,06","67,78"
 Alimentação fora do domicílio,"185,00","102,93","129,91","172,80","164,24","365,87","925,42","532,20"
  Almoço e jantar,"115,55","63,84","70,43","91,25","97,61","249,85","715,10","413,11"
"  Café, leite, café/leite e chocolate","2,66","1,98","2,24","3,67","1,73","3,80","5,24","2,00"
  Sanduíches e salgados,"19,24","6,12","15,72","21,44","18,76","33,25","95,03","59,14"
  Refrigerantes e outras bebidas não alcoólicas ,"14,03","8,61","9,97","14,03","19,99","26,82","44,74","18,22"
  Lanches,"12,91","6,93","17,49","15,89","7,37","16,64","30,18","7,83"
"  Cervejas, chopes e outras bebidas alcoólicas ","9,09","8,88","3,32","10,56","8,47","28,22","6,60","7,81"
  Alimentação light e diet,"0,04",-,-,"0,06",-,-,"0,87",-
  Outras,"11,48","6,58","10,74","15,91","10,31","7,30","27,65","24,09"
Número de famílias,210124,62251,44913,55628,23940,11869,6639,4884
Tamanho médio da família,"3,87","3,12","3,80","4,44","4,15","4,46","4,38","4,12"
