"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Ameixa,"0,204","0,091","0,074","0,227","0,193","0,374","0,361"
      Caqui,"0,513","0,599","0,230","0,403","0,645","0,610","0,957"
      Maçã,"2,881","2,010","2,291","2,688","3,075","3,619","4,969"
      Morango,"0,285","0,051","0,113","0,184","0,320","0,661","0,945"
      Pera,"0,257","0,066","0,146","0,250","0,229","0,521","0,587"
      Pêssego,"0,479","0,213","0,226","0,408","0,496","0,843","1,268"
      Uva,"0,933","2,022","0,595","0,619","0,788","0,953","1,695"
      Outras,"0,184","0,172","0,066","0,118","0,199","0,395","0,456"
"Cocos, castanhas e nozes","0,438","0,210","0,226","0,390","0,490","0,830","0,843"
   Cocos,"0,170","0,031","0,114","0,085","0,198","0,533","0,394"
      Açaí (emulsão),"0,081",-,"0,003","0,033","0,085","0,429","0,169"
      Coco-da-baía,"0,046","0,022","0,070","0,014","0,055","0,038","0,176"
      Outros,"0,042","0,010","0,041","0,038","0,058","0,067","0,050"
   Castanhas e nozes,"0,268","0,178","0,112","0,305","0,292","0,296","0,448"
"Farinhas, féculas e massas","15,234","14,131","15,483","16,328","14,023","13,767","16,552"
   Farinhas,"8,078","7,946","8,323","9,292","6,969","6,446","7,123"
      Farinha de mandioca,"0,409","0,515","0,450","0,431","0,330","0,338","0,361"
      Farinha de rosca,"0,075","0,011","0,084","0,103","0,082","0,044","0,052"
      Farinha de trigo,"7,471","7,395","7,748","8,589","6,468","5,938","6,395"
      Farinha vitaminada,"0,024",-,"0,002","0,012","0,040","0,009","0,140"
      Outras,"0,098","0,025","0,038","0,157","0,049","0,117","0,176"
   Féculas,"2,154","1,844","1,933","2,118","1,998","2,046","3,854"
      Amido de milho,"0,127","0,051","0,082","0,135","0,121","0,227","0,199"
      Creme de arroz,"0,058","0,077","0,043","0,053","0,075","0,051","0,046"
      Creme de milho,-,-,-,-,-,-,-
      Fécula de mandioca,"0,414","0,209","0,324","0,437","0,414","0,420","0,821"
      Flocos de aveia,"0,061","0,003","0,085","0,040","0,086","0,101","0,091"
      Flocos de milho,"0,313","0,244","0,111","0,140","0,324","0,151","1,823"
      Flocos de outros cereais,"0,128","0,044","0,088","0,078","0,198","0,194","0,308"
      Fubá de milho,"1,049","1,204","1,199","1,230","0,781","0,904","0,566"
      Outras,"0,004","0,013",-,"0,005",-,-,-
   Massas,"5,002","4,341","5,228","4,918","5,055","5,274","5,575"
      Macarrão com ovos,"1,495","1,751","1,749","1,459","1,262","1,512","1,394"
      Macarrão não especificado,"1,443","1,203","1,565","1,520","1,440","1,252","1,475"
      Macarrão sem ovos,"0,744","0,727","0,909","0,822","0,677","0,604","0,430"
      Massa de lasanha,"0,238","0,082","0,268","0,157","0,230","0,564","0,457"
      Massa de pastel,"0,386","0,259","0,307","0,385","0,552","0,255","0,437"
      Massa de pizza,"0,436","0,199","0,224","0,387","0,572","0,755","0,701"
      Outras,"0,260","0,121","0,205","0,188","0,322","0,333","0,681"
Panificados,"17,229","12,334","14,565","16,644","18,618","21,873","23,773"
   Pães,"11,809","8,973","9,758","11,532","12,787","15,433","14,677"
      Pão caseiro,"0,663","0,657","0,548","0,790","0,653","0,567","0,439"
      Pão de forma de padaria,"0,295","0,381","0,238","0,318","0,239","0,333","0,261"
      Pão de forma industrializado,"1,117","0,639","1,111","0,943","1,391","1,497","1,514"
      Pão de milho,"0,118","0,123","0,065","0,110","0,099","0,161","0,245"
      Pão de queijo,"0,189","0,056","0,089","0,126","0,200","0,498","0,501"
      Pão doce,"0,894","0,379","0,642","0,828","1,083","1,394","1,409"
      Pão francês,"7,140","6,088","6,322","7,372","7,728","8,127","6,485"
      Pão integral,"0,532","0,185","0,347","0,403","0,482","1,045","1,617"
      Torrada,"0,105","0,058","0,049","0,085","0,107","0,160","0,317"
      Outros,"0,757","0,405","0,348","0,556","0,804","1,652","1,889"
   Bolos,"1,343","0,506","1,279","1,177","1,241","1,986","3,163"
"   Biscoitos, roscas, etc.","4,076","2,855","3,528","3,936","4,590","4,454","5,933"
      Biscoito doce,"2,259","1,522","1,991","2,292","2,570","2,356","2,835"
      Biscoito não especificado,"0,193","0,075","0,148","0,150","0,185","0,170","0,733"
      Biscoito salgado,"1,296","1,124","0,996","1,198","1,491","1,491","1,842"
      Rosca doce,"0,106","0,074","0,088","0,088","0,122","0,078","0,272"
      Rosca não especificada,"0,156","0,040","0,273","0,142","0,138","0,186","0,199"
      Rosca salgada,"0,018","0,010","0,006","0,012","0,038","0,026","0,018"
      Outros,"0,049","0,009","0,027","0,053","0,046","0,146","0,033"
Carnes,"25,566","20,014","22,916","24,663","26,301","32,768","33,460"
   Carnes bovinas de primeira,"5,707","2,432","3,305","5,158","6,255","9,786","11,964"
      Alcatra,"0,716","0,238","0,206","0,461","0,828","1,645","2,282"
      Carne moída,"0,690","0,304","0,475","0,582","0,730","1,560","1,094"
      Carne não especificada,"1,700","0,708","1,047","1,807","1,957","2,377","2,551"
      Chã de dentro,"0,731","0,352","0,239","0,543","0,932","1,569","1,636"
      Contrafilé,"1,029","0,632","0,783","1,072","0,942","1,161","2,057"
      Filé-mignon,"0,193","0,057","0,154","0,114","0,185","0,295","0,775"
      Lagarto comum,"0,240","0,047","0,154","0,225","0,313","0,322","0,494"
      Lagarto redondo,"0,074","0,020","0,022","0,067","0,084","0,055","0,292"
      Patinho,"0,335","0,074","0,224","0,289","0,284","0,804","0,783"
   Carnes bovinas de segunda,"7,077","6,944","7,281","7,186","6,245","9,194","6,165"
      Acém,"0,739","0,796","0,477","0,854","0,669","0,679","0,880"
      Capa de filé,"0,197","0,112","0,068","0,192","0,235","0,445","0,209"
      Carne moída,"1,368","1,781","1,681","1,512","0,991","0,980","0,917"
      Carne não especificada,"0,976","0,875","1,170","0,852","0,960","1,553","0,710"
      Costela,"1,977","1,763","1,961","1,848","1,810","3,241","1,911"
      Músculo,"0,646","0,201","0,595","0,624","0,659","1,012","1,116"
      Pá,"0,692","0,494","0,897","0,720","0,510","1,250","0,323"
      Peito,"0,343","0,742","0,335","0,460","0,185",-,-
      Outras,"0,139","0,181","0,097","0,124","0,227","0,033","0,098"
   Carnes bovinas outras,"2,659","2,023","2,625","2,381","3,279","2,778","3,209"
      Carne de hambúrguer,"0,217","0,173","0,302","0,175","0,218","0,253","0,284"
      Carne de sol,-,-,-,-,-,-,-
      Carne moída não especificada,"0,542","0,493","0,613","0,624","0,595","0,213","0,343"
      Carne não especificada,"1,316","1,082","1,103","0,943","1,666","1,812","2,315"
      Carne-seca,"0,036","0,007","0,026","0,021","0,057","0,115","0,019"
      Mocotó,"0,017",-,-,"0,018","0,048",-,-
      Outras,"0,531","0,269","0,581","0,601","0,695","0,386","0,249"
   Carnes suínas com osso e sem osso,"3,782","3,653","3,623","3,950","3,684","4,208","3,261"
      Carré,"0,912","0,836","1,179","0,814","0,787","1,116","1,098"
      Costela,"0,646","0,358","0,329","0,668","0,826","0,772","0,978"
      Lombo,"0,179","0,074","0,088","0,189","0,199","0,111","0,508"
      Pernil,"0,605","0,697","0,485","0,711","0,667","0,583","0,027"
      Porco eviscerado,"0,148","0,122","0,008","0,245","0,030","0,424",-
      Outras,"1,292","1,566","1,535","1,322","1,175","1,202","0,651"
   Carnes suínas outras,"3,690","2,315","3,486","3,507","4,197","4,656","4,626"
      Carne salgada não especificada,"0,054","0,057","0,028","0,034","0,035","0,054","0,251"
      Costela de porco salgada,-,-,-,-,-,-,-
      Mortadela,"0,901","0,561","1,124","0,936","0,997","0,863","0,627"
      Paio,"0,018",-,-,-,"0,079",-,"0,014"
      Pé de porco salgado,"0,020",-,"0,005","0,029","0,041",-,-
      Presunto,"0,702","0,398","0,582","0,590","0,798","1,083","1,244"
      Salame,"0,385","0,202","0,202","0,326","0,522","0,650","0,626"
      Salsicha comum,"1,219","0,845","1,333","1,163","1,257","1,558","1,361"
      Toucinho fresco,"0,068","0,024","0,035","0,112","0,084","0,007","0,029"
      Toucinho defumado,"0,188","0,076","0,075","0,199","0,187","0,378","0,318"
      Outras,"0,135","0,152","0,103","0,118","0,197","0,063","0,156"
   Carnes de outros animais,"2,651","2,647","2,597","2,481","2,640","2,146","4,235"
      Carne de cabrito,-,-,-,-,-,-,-
      Carne de carneiro,"0,098","0,015","0,011","0,062","0,051","0,082","0,727"
      Linguiça,"2,451","2,599","2,496","2,298","2,420","2,040","3,438"
      Outras,"0,103","0,034","0,091","0,120","0,168","0,025","0,071"
Vísceras,"0,388","0,342","0,369","0,450","0,450","0,183","0,285"
   Vísceras bovinas,"0,287","0,156","0,306","0,353","0,355","0,130","0,141"
      Bucho,"0,025","0,065","0,004","0,044","0,002","0,010",-
      Fígado,"0,119","0,062","0,203","0,135","0,129","0,022","0,056"
      Língua,"0,031",-,-,"0,033","0,051","0,077","0,015"
      Outras,"0,112","0,029","0,099","0,141","0,173","0,021","0,070"
   Vísceras suínas,"0,100","0,185","0,050","0,097","0,095","0,054","0,144"
   Outras vísceras,"0,002",-,"0,013",-,-,-,-
Pescados,"1,043","0,583","0,651","1,006","1,088","1,617","1,928"
   Pescados de água salgada,"0,600","0,494","0,446","0,488","0,744","0,625","1,179"
      Anchova fresca,"0,023",-,-,-,"0,098",-,"0,024"
      Bacalhau,"0,005",-,-,"0,003","0,008",-,"0,026"
      Bagre fresco,-,-,-,-,-,-,-
      Cação fresco,"0,006",-,-,"0,006",-,-,"0,055"
      Camarão fresco,"0,035","0,046",-,"0,035","0,033","0,073","0,040"
      Corvina fresca,"0,008",-,"0,009","0,006","0,021",-,-
      Merluza em filé congelado,"0,001",-,-,-,-,"0,013",-
      Merluza em filé fresco,-,-,-,-,-,-,-
      Parati fresco,-,-,-,-,-,-,-
      Pescada em filé congelado,"0,016","0,040",-,-,-,"0,050","0,081"
      Pescada em filé fresco,"0,014",-,-,"0,041",-,-,-
      Pescada fresca,"0,004",-,-,"0,006",-,-,"0,030"
      Pescadinha fresca,"0,000",-,-,-,-,"0,004",-
      Sardinha em conserva,"0,116","0,031","0,183","0,082","0,142","0,203","0,111"
      Sardinha fresca,"0,056","0,183","0,016","0,029","0,040","0,029","0,127"
      Tainha fresca,"0,031",-,-,"0,018","0,096","0,044",-
      Outros pescados em filé congelado,"0,058","0,038","0,154","0,019","0,065","0,077","0,046"
      Outros pescados em filé fresco,"0,114","0,117","0,040","0,084","0,156","0,113","0,287"
      Outros pescados frescos,"0,105","0,039","0,043","0,150","0,084",-,"0,314"
      Outros pescados salgados,"0,008",-,"0,001","0,009",-,"0,018","0,039"
   Pescados de água doce,"0,290","0,064","0,174","0,303","0,302","0,439","0,612"
      Acará fresca,-,-,-,-,-,-,-
      Acari fresco,"0,009",-,-,"0,007","0,011",-,"0,055"
      Anujá fresco,"0,010",-,-,"0,029",-,-,-
      Curimatã fresco,"0,005",-,-,"0,014",-,-,-
      Dourada fresca,"0,001",-,-,"0,001",-,-,-
      Jaraqui fresco,-,-,-,-,-,-,-
      Lambari fresco,-,-,-,-,-,-,-
      Mapará fresco,-,-,-,-,-,-,-
      Piau fresco,-,-,-,-,-,-,-
      Surubim fresco,-,-,-,-,-,-,-
      Tambaqui fresco,"0,010",-,-,-,-,"0,115",-
      Tilápia fresca,"0,096","0,024","0,069","0,133","0,056","0,088","0,221"
      Traíra fresca,"0,007",-,-,"0,021",-,-,-
      Tucunaré fresco,-,-,-,-,-,-,-
      Outros pescados em filé congelado,"0,045",-,"0,017","0,028","0,038","0,144","0,150"
      Outros pescados em filé fresco,"0,034",-,"0,014","0,022","0,031","0,046","0,186"
      Outros pescados frescos,"0,072","0,040","0,075","0,048","0,166","0,047",-
      Outros pescados salgados,-,-,-,-,-,-,-
   Pescados não especificados,"0,153","0,025","0,031","0,214","0,042","0,552","0,137"
      Peixe em filé congelado,-,-,-,-,-,-,-
      Peixe em filé fresco,"0,007",-,-,"0,013",-,"0,029",-
      Peixe fresco,"0,133","0,025","0,031","0,166","0,042","0,523","0,137"
      Peixe salgado,"0,012",-,-,"0,035",-,-,-
Aves e ovos,"16,924","13,965","14,675","17,004","17,192","20,297","20,988"
   Aves,"12,849","11,283","11,266","12,881","13,184","14,420","15,534"
      Asa de frango,"0,783","0,781","0,602","0,712","0,732","1,405","0,871"
      Carne de frango não especificada,"0,654","0,441","0,474","0,763","0,748","0,805","0,383"
      Coxa de frango,"5,126","4,984","4,753","5,261","4,809","5,963","5,320"
      Dorso de frango,"0,014","0,021","0,031","0,020",-,-,-
      Frango abatido (inteiro),"2,988","3,267","2,492","3,230","3,193","2,123","2,804"
      Frango vivo,"0,049","0,091","0,211","0,020",-,-,-
      Miúdos de frango,"0,379","0,118","0,481","0,340","0,411","0,634","0,395"
      Peito de frango,"2,307","1,269","1,725","2,091","2,659","2,917","4,473"
      Outras carnes de frango,"0,333","0,277","0,273","0,284","0,454","0,234","0,556"
      Pato  inteiro ou em cortes,"0,052",-,"0,060","0,015","0,027","0,023","0,403"
      Peru abatido,"0,052",-,"0,157","0,017","0,039","0,161",-
      Peru em cortes,"0,054","0,033","0,007","0,053","0,078","0,080","0,081"
      Outras,"0,059",-,-,"0,075","0,033","0,074","0,248"
   Ovos,"4,075","2,682","3,410","4,123","4,008","5,877","5,454"
      Ovo de galinha,"4,030","2,671","3,404","4,090","3,921","5,771","5,418"
      Outros,"0,044","0,011","0,006","0,033","0,087","0,106","0,036"
Laticínios,"48,271","35,086","41,951","46,270","50,864","59,025","71,716"
   Leite e creme de leite,"41,399","31,895","36,574","40,635","43,475","48,486","55,773"
      Creme de leite,"0,729","0,304","0,524","0,709","0,849","1,157","1,069"
      Leite condensado,"1,045","0,591","0,799","0,984","1,124","1,605","1,673"
      Leite de vaca fresco,"4,423","4,270","3,869","4,809","4,752","4,575","2,776"
      Leite de vaca pasteurizado,"33,710","26,325","30,466","32,996","35,113","37,981","46,579"
      Leite em pó desengordurado,"0,010",-,"0,005","0,008","0,007","0,001","0,061"
      Leite em pó integral,"0,368","0,261","0,222","0,344","0,530","0,368","0,484"
      Leite em pó não especificado,"0,053","0,022","0,043","0,035","0,032","0,114","0,198"
      Outros,"1,062","0,122","0,647","0,751","1,069","2,685","2,933"
   Queijos e requeijão,"2,606","0,946","2,002","1,957","2,618","4,735","7,040"
      Queijo minas,"0,114","0,056","0,110","0,043","0,060","0,270","0,520"
      Queijo mozzarella,"1,073","0,457","0,859","0,857","1,101","1,998","2,352"
      Queijo não especificado,"0,113","0,009","0,106","0,063","0,116","0,139","0,502"
      Queijo parmezão,"0,061","0,019","0,029","0,040","0,072","0,101","0,216"
      Queijo prato,"0,808","0,300","0,712","0,647","0,897","1,511","1,509"
      Outros queijos,"0,106","0,025","0,052","0,068","0,091","0,159","0,504"
      Requeijão,"0,330","0,080","0,134","0,239","0,281","0,557","1,437"
   Outros laticínios,"4,267","2,244","3,375","3,678","4,771","5,804","8,903"
      Iogurte,"2,209","1,086","2,003","1,678","2,538","3,189","4,909"
      Leite fermentado,"1,563","0,775","1,010","1,552","1,804","1,982","2,815"
      Manteiga,"0,162","0,049","0,099","0,098","0,115","0,226","0,841"
      Outros,"0,332","0,334","0,262","0,350","0,313","0,407","0,337"
"Açúcares, doces e produtos de confeitaria","15,806","13,948","16,778","16,230","14,917","16,875","16,176"
   Açúcares,"11,030","10,980","12,759","12,103","9,540","9,708","8,421"
      Açúcar cristal,"4,782","6,192","6,302","5,111","3,370","4,026","2,823"
      Açúcar demerara,"0,207","0,126","0,098","0,099","0,328","0,572","0,285"
      Açúcar não especificado,"0,499","0,191","0,553","0,590","0,319","1,003","0,364"
      Açúcar refinado,"5,505","4,449","5,773","6,271","5,494","4,061","4,838"
      Outros,"0,037","0,021","0,032","0,032","0,028","0,047","0,111"
   Doces e produtos de confeitaria,"3,668","1,960","3,085","3,068","4,095","6,106","6,355"
      Bombom,"0,327","0,171","0,273","0,344","0,323","0,560","0,335"
      Chocolate em tablete,"0,419","0,133","0,300","0,301","0,507","0,663","1,151"
      Doce a base de leite,"0,260","0,105","0,199","0,287","0,278","0,339","0,363"
      Doce de fruta cristalizado,"0,007",-,"0,010","0,012","0,001",-,"0,019"
      Doce de fruta em calda,"0,100","0,051","0,054","0,068","0,138","0,151","0,257"
