"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Suco de fruta envasado,"2,323","0,250","1,000","1,272","2,741","6,044","7,688"
      Outras,"0,714","0,140","0,149","0,629","0,544","1,253","3,012"
   Cafés,"2,623","2,475","2,724","2,518","2,545","2,879","3,092"
      Café moído,"2,300","2,310","2,516","2,249","2,065","2,493","2,541"
      Café solúvel,"0,226","0,132","0,174","0,219","0,243","0,246","0,444"
      Outros,"0,097","0,034","0,033","0,049","0,237","0,139","0,107"
   Chás,"2,333","1,904","2,341","2,183","2,261","2,552","3,686"
      Chá-mate,"2,234","1,888","2,297","2,001","2,234","2,398","3,615"
      Outros,"0,098","0,016","0,044","0,182","0,028","0,154","0,071"
Alimentos preparados e misturas industriais,"4,617","1,713","3,330","3,733","6,045","6,826","9,458"
   Alimentos preparados,"4,293","1,540","3,024","3,448","5,560","6,536","9,074"
      Alimento congelado,"0,373","0,185","0,179","0,334","0,442","0,583","0,802"
      Batata frita,"0,284","0,061","0,327","0,272","0,385","0,409","0,190"
      Carne-assada,"0,203","0,025","0,193","0,187","0,307","0,286","0,196"
      Frango assado ou defumado,"0,396","0,301","0,322","0,402","0,409","0,672","0,298"
      Frango empanado,"0,139","0,134","0,137","0,101","0,194","0,114","0,208"
      Massa,"0,674","0,104","0,374","0,536","0,981","1,042","1,550"
      Refeição,"0,467","0,027","0,573","0,291","0,787","0,435","0,972"
      Salgadinho,"0,341","0,134","0,279","0,323","0,425","0,398","0,583"
      Sanduíche,"0,113","0,075","0,059","0,105","0,103","0,136","0,318"
      Outros,"1,303","0,496","0,582","0,897","1,527","2,462","3,957"
   Misturas industriais,"0,325","0,173","0,306","0,285","0,485","0,290","0,384"
      Mistura para bolo,"0,279","0,144","0,284","0,262","0,356","0,284","0,354"
      Outras,"0,045","0,029","0,022","0,024","0,129","0,006","0,030"
Outros produtos,"0,016","0,004","0,006","0,010","0,030","0,036","0,024"
