"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Refrigerante de maçã,-,-,-,-,-,-,-
      Refrigerante de uva,"0,152","0,124","0,209","0,160","0,177","0,036","0,073"
      Bebida energética,"0,035","0,011","0,016","0,049","0,067","0,107","0,185"
      Refrigerante não especificado,"0,922","0,522","0,883","1,336","1,543","1,153","0,550"
      Outros refrigerantes,"0,116","0,077","0,072","0,131","0,126","0,372","0,465"
      Suco de fruta em pó,"0,149","0,141","0,168","0,167","0,100","0,132","0,107"
      Suco de fruta envasado,"0,828","0,277","0,658","1,007","1,834","2,271","2,935"
      Outras,"0,174","0,020","0,072","0,166","0,405","1,398","0,878"
   Cafés,"2,498","2,397","2,641","2,463","2,358","2,375","3,488"
      Café moído,"2,339","2,311","2,510","2,286","2,184","2,050","2,649"
      Café solúvel,"0,086","0,053","0,068","0,110","0,124","0,131","0,269"
      Outros,"0,072","0,034","0,062","0,067","0,051","0,194","0,571"
   Chás,"0,026","0,004","0,019","0,024","0,014","0,238","0,155"
      Chá-mate,"0,009","0,003","0,010","0,006","0,006",-,"0,122"
      Outros,"0,017","0,001","0,010","0,017","0,007","0,238","0,033"
Alimentos preparados e misturas industriais,"2,412","1,168","1,877","2,832","4,321","5,675","9,038"
   Alimentos preparados,"2,262","1,081","1,716","2,673","4,070","5,553","8,544"
      Alimento congelado,"0,055","0,011","0,011","0,087","0,083","0,239","0,347"
      Batata frita,"0,052","0,011","0,024","0,055","0,149","0,170","0,342"
      Carne-assada,"0,087","0,032","0,045","0,135","0,159","0,377","0,131"
      Frango assado ou defumado,"0,482","0,303","0,367","0,553","0,961","0,995","1,024"
      Frango empanado,"0,035","0,027","0,044","0,031","0,054","0,059","0,031"
      Massa,"0,318","0,064","0,241","0,441","0,685","0,928","1,254"
      Refeição,"0,775","0,422","0,642","0,723","1,137","2,159","3,978"
      Salgadinho,"0,139","0,062","0,087","0,207","0,268","0,150","0,505"
      Sanduíche,"0,051","0,014","0,020","0,065","0,150","0,155","0,239"
      Outros,"0,268","0,135","0,235","0,378","0,424","0,322","0,693"
   Misturas industriais,"0,149","0,087","0,161","0,160","0,250","0,122","0,494"
      Mistura para bolo,"0,136","0,071","0,150","0,146","0,236","0,109","0,494"
      Outras,"0,014","0,016","0,012","0,014","0,015","0,013",-
Outros produtos,"0,005","0,004","0,003","0,006","0,013","0,003","0,021"
