"Alimento","Total","Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
   Frutas de clima temperado,"2,806","1,630","2,408","2,931","4,622","7,277","9,128"
      Ameixa,"0,043","0,005","0,041","0,038","0,108","0,217","0,204"
      Caqui,"0,012","0,010","0,006",-,"0,056","0,021","0,052"
      Maçã,"1,724","1,056","1,505","1,875","2,577","4,074","5,251"
      Morango,"0,052","0,012","0,016","0,040","0,217","0,144","0,343"
      Pera,"0,168","0,060","0,125","0,165","0,387","0,692","0,668"
      Pêssego,"0,006",-,"0,004","0,005",-,"0,076","0,024"
      Uva,"0,771","0,478","0,693","0,796","1,238","1,866","2,237"
      Outras,"0,030","0,009","0,016","0,013","0,039","0,188","0,350"
"Cocos, castanhas e nozes","0,381","0,222","0,358","0,403","0,560","0,604","1,575"
   Cocos,"0,360","0,218","0,356","0,380","0,541","0,533","1,268"
      Açaí (emulsão),"0,166","0,090","0,171","0,238","0,256","0,210","0,132"
      Coco-da-baía,"0,165","0,102","0,158","0,117","0,231","0,254","1,116"
      Outros,"0,030","0,027","0,027","0,024","0,054","0,070","0,020"
   Castanhas e nozes,"0,021","0,003","0,002","0,024","0,019","0,070","0,307"
"Farinhas, féculas e massas","15,305","14,981","15,843","15,188","15,510","13,754","17,527"
   Farinhas,"4,906","4,870","5,465","4,698","4,380","3,439","6,149"
      Farinha de mandioca,"3,868","4,097","4,565","3,457","3,146","1,795","3,842"
      Farinha de rosca,"0,025","0,016","0,012","0,021","0,051","0,111","0,097"
      Farinha de trigo,"0,815","0,598","0,710","1,014","0,896","1,286","1,728"
      Farinha vitaminada,"0,089","0,032","0,092","0,094","0,177","0,163","0,405"
      Outras,"0,110","0,127","0,086","0,112","0,109","0,084","0,077"
   Féculas,"6,512","6,473","6,469","6,432","7,005","6,076","7,168"
      Amido de milho,"0,066","0,060","0,075","0,051","0,085","0,085","0,134"
      Creme de arroz,"0,262","0,265","0,248","0,272","0,320","0,171","0,182"
      Creme de milho,"0,126","0,154","0,167","0,067","0,140","0,035","0,071"
      Fécula de mandioca,"1,447","0,992","1,398","1,586","2,521","1,989","2,648"
      Flocos de aveia,"0,066","0,030","0,061","0,054","0,125","0,206","0,326"
      Flocos de milho,"1,811","1,374","1,772","2,302","2,111","1,701","2,423"
      Flocos de outros cereais,"0,188","0,137","0,226","0,166","0,211","0,294","0,547"
      Fubá de milho,"2,541","3,461","2,522","1,926","1,486","1,582","0,728"
      Outras,"0,006",-,-,"0,007","0,007","0,013","0,109"
   Massas,"3,886","3,638","3,910","4,058","4,125","4,239","4,210"
      Macarrão com ovos,"0,370","0,304","0,338","0,478","0,284","0,525","0,510"
      Macarrão não especificado,"2,243","2,177","2,414","2,217","2,294","2,333","1,788"
      Macarrão sem ovos,"1,026","1,081","0,981","1,028","1,059","0,749","0,872"
      Massa de lasanha,"0,098","0,025","0,079","0,101","0,283","0,262","0,426"
      Massa de pastel,"0,043","0,025","0,029","0,088","0,023","0,010","0,059"
      Massa de pizza,"0,072","0,019","0,054","0,104","0,123","0,316","0,154"
      Outras,"0,034","0,005","0,014","0,041","0,059","0,044","0,401"
Panificados,"19,297","15,437","18,618","21,891","24,678","26,345","26,399"
   Pães,"13,797","10,959","13,305","15,625","18,260","19,513","17,714"
      Pão caseiro,"0,043","0,018","0,078","0,047","0,007","0,092","0,095"
      Pão de forma de padaria,"0,049","0,017","0,053","0,059","0,068","0,112","0,182"
      Pão de forma industrializado,"0,147","0,057","0,137","0,144","0,289","0,408","0,668"
      Pão de milho,"0,063","0,038","0,062","0,074","0,147","0,074","0,041"
      Pão de queijo,"0,046","0,024","0,035","0,049","0,103","0,100","0,150"
      Pão doce,"0,541","0,366","0,479","0,556","0,927","0,798","1,677"
      Pão francês,"11,781","9,620","11,465","13,567","15,188","15,457","11,600"
      Pão integral,"0,245","0,088","0,169","0,306","0,502","0,708","0,961"
      Torrada,"0,057","0,024","0,040","0,076","0,103","0,067","0,269"
      Outros,"0,827","0,705","0,788","0,747","0,927","1,697","2,071"
   Bolos,"0,811","0,480","0,732","0,961","1,092","1,772","2,294"
"   Biscoitos, roscas, etc.","4,689","3,998","4,580","5,304","5,327","5,060","6,392"
      Biscoito doce,"2,000","1,589","1,913","2,319","2,494","2,510","2,966"
      Biscoito não especificado,"0,103","0,091","0,094","0,123","0,099","0,116","0,121"
      Biscoito salgado,"2,453","2,168","2,465","2,737","2,592","2,321","3,138"
      Rosca doce,"0,042","0,032","0,051","0,045","0,031","0,022","0,118"
      Rosca não especificada,"0,074","0,106","0,047","0,060","0,085","0,037","0,031"
      Rosca salgada,"0,010","0,006","0,006","0,015","0,012","0,049","0,014"
      Outros,"0,006","0,006","0,005","0,007","0,013","0,005","0,003"
Carnes,"18,664","14,909","19,627","20,261","22,712","21,727","29,241"
   Carnes bovinas de primeira,"3,636","2,288","3,221","4,130","5,598","7,047","9,710"
      Alcatra,"0,295","0,126","0,298","0,318","0,450","1,187","0,737"
      Carne moída,"0,143","0,069","0,127","0,188","0,211","0,304","0,396"
      Carne não especificada,"2,081","1,614","2,036","2,325","3,071","2,574","2,773"
      Chã de dentro,"0,389","0,106","0,266","0,480","0,669","1,370","2,106"
      Contrafilé,"0,355","0,201","0,270","0,452","0,622","0,709","0,901"
      Filé-mignon,"0,050","0,001","0,069","0,022","0,066","0,297","0,439"
      Lagarto comum,"0,097","0,047","0,040","0,102","0,071","0,253","0,960"
      Lagarto redondo,"0,026","0,021",-,"0,048",-,-,"0,180"
      Patinho,"0,199","0,102","0,115","0,195","0,437","0,352","1,218"
   Carnes bovinas de segunda,"4,221","3,699","4,748","4,404","4,799","3,707","4,170"
      Acém,"0,319","0,127","0,307","0,460","0,694","0,392","0,440"
      Capa de filé,"0,065","0,034","0,050","0,088","0,063","0,160","0,241"
      Carne moída,"0,123","0,089","0,121","0,109","0,147","0,237","0,472"
      Carne não especificada,"2,040","2,247","2,416","1,811","1,831","0,647","0,895"
      Costela,"0,987","0,784","1,171","1,079","1,135","1,024","0,874"
      Músculo,"0,234","0,176","0,160","0,267","0,409","0,310","0,625"
      Pá,"0,137","0,083","0,148","0,193","0,128","0,195","0,171"
      Peito,"0,095","0,038","0,119","0,101","0,118","0,369","0,194"
      Outras,"0,222","0,122","0,256","0,295","0,275","0,373","0,257"
   Carnes bovinas outras,"5,140","4,101","5,637","5,761","5,625","4,297","8,387"
      Carne de hambúrguer,"0,100","0,051","0,074","0,151","0,173","0,075","0,283"
      Carne de sol,"0,580","0,427","0,431","0,663","1,121","0,529","1,397"
      Carne moída não especificada,"0,258","0,149","0,259","0,339","0,414","0,214","0,505"
      Carne não especificada,"2,621","2,230","3,118","2,717","2,428","2,195","3,927"
      Carne-seca,"0,786","0,609","0,863","0,993","0,738","0,722","0,762"
      Mocotó,"0,081","0,043","0,141","0,050","0,042","0,164","0,385"
      Outras,"0,714","0,592","0,752","0,848","0,708","0,397","1,129"
   Carnes suínas com osso e sem osso,"1,762","1,455","2,002","1,871","1,849","2,217","2,067"
      Carré,"0,401","0,332","0,376","0,522","0,309","0,510","0,489"
      Costela,"0,102","0,067","0,061","0,106","0,215","0,190","0,386"
      Lombo,"0,016",-,"0,027","0,021","0,035",-,"0,046"
      Pernil,"0,069","0,052","0,024","0,080","0,076","0,269","0,255"
      Porco eviscerado,"0,098","0,073","0,019","0,175","0,201","0,135",-
      Outras,"1,076","0,931","1,496","0,967","1,014","1,113","0,891"
   Carnes suínas outras,"1,828","1,796","1,872","1,811","1,779","1,981","2,004"
      Carne salgada não especificada,"0,061","0,030","0,103","0,067","0,097","0,022","0,033"
      Costela de porco salgada,"0,000","0,001",-,-,-,-,-
      Mortadela,"0,565","0,680","0,657","0,475","0,288","0,331","0,287"
      Paio,"0,002","0,000","0,001","0,002","0,005","0,010",-
      Pé de porco salgado,"0,003","0,001","0,002",-,"0,010","0,031","0,025"
      Presunto,"0,229","0,092","0,168","0,286","0,498","0,653","0,647"
      Salame,"0,037","0,051","0,036","0,011","0,040","0,081","0,050"
      Salsicha comum,"0,684","0,744","0,674","0,706","0,486","0,544","0,509"
      Toucinho fresco,"0,058","0,041","0,057","0,072","0,064","0,059","0,115"
      Toucinho defumado,"0,050","0,013","0,055","0,043","0,143","0,187","0,127"
      Outras,"0,139","0,144","0,119","0,149","0,149","0,063","0,212"
   Carnes de outros animais,"2,078","1,570","2,146","2,284","3,062","2,478","2,903"
      Carne de cabrito,"0,329","0,242","0,456","0,288","0,513","0,554","0,098"
      Carne de carneiro,"0,289","0,222","0,297","0,352","0,358","0,279","0,320"
      Linguiça,"1,368","1,040","1,295","1,558","1,970","1,518","2,448"
      Outras,"0,092","0,066","0,098","0,085","0,220","0,127","0,037"
Vísceras,"0,822","0,631","0,918","0,982","0,914","1,011","0,599"
   Vísceras bovinas,"0,768","0,598","0,791","0,956","0,857","0,977","0,573"
      Bucho,"0,020","0,019","0,008","0,043",-,-,-
      Fígado,"0,473","0,326","0,510","0,571","0,649","0,658","0,462"
      Língua,"0,023","0,011","0,041","0,024","0,036",-,"0,030"
      Outras,"0,252","0,243","0,233","0,317","0,172","0,319","0,081"
   Vísceras suínas,"0,030","0,019","0,065","0,019","0,024","0,034","0,026"
   Outras vísceras,"0,023","0,014","0,063","0,007","0,033",-,-
Pescados,"4,083","3,714","4,173","4,178","4,493","3,896","6,198"
   Pescados de água salgada,"2,413","2,065","2,452","2,382","3,115","2,238","4,964"
      Anchova fresca,"0,031","0,054","0,040","0,008",-,-,-
      Bacalhau,"0,060","0,029","0,052","0,077","0,090","0,101","0,208"
      Bagre fresco,"0,071","0,101","0,071","0,054","0,046",-,-
      Cação fresco,"0,001","0,000",-,-,-,-,"0,032"
      Camarão fresco,"0,120","0,062","0,083","0,110","0,247","0,124","0,830"
      Corvina fresca,"0,219","0,154","0,250","0,264","0,329","0,114","0,225"
      Merluza em filé congelado,"0,022","0,002","0,019","0,036","0,031","0,067","0,081"
      Merluza em filé fresco,"0,008",-,"0,008","0,023",-,-,-
      Parati fresco,"0,003","0,007",-,-,-,-,-
      Pescada em filé congelado,"0,003","0,005",-,"0,004",-,-,"0,011"
      Pescada em filé fresco,"0,005",-,"0,018",-,-,-,"0,042"
      Pescada fresca,"0,109","0,076","0,107","0,086","0,120","0,238","0,560"
      Pescadinha fresca,"0,028","0,020","0,027","0,043","0,006","0,086",-
      Sardinha em conserva,"0,198","0,178","0,218","0,196","0,158","0,166","0,457"
      Sardinha fresca,"0,102","0,089","0,136","0,100","0,089","0,091","0,089"
      Tainha fresca,"0,082","0,095","0,031","0,067","0,151","0,046","0,275"
      Outros pescados em filé congelado,"0,072","0,037","0,026","0,094","0,112","0,142","0,458"
      Outros pescados em filé fresco,"0,090","0,024","0,042","0,097","0,209","0,278","0,653"
      Outros pescados frescos,"1,103","1,053","1,241","1,032","1,383","0,784","0,952"
      Outros pescados salgados,"0,086","0,080","0,082","0,091","0,145",-,"0,091"
   Pescados de água doce,"0,966","0,823","1,074","1,076","0,881","1,139","1,003"
      Acará fresca,"0,023","0,019","0,056","0,004","0,036",-,-
      Acari fresco,"0,009","0,016","0,010","0,002","0,006",-,-
      Anujá fresco,"0,049","0,050","0,084","0,025","0,007","0,144",-
      Curimatã fresco,"0,044","0,034","0,035","0,073","0,054",-,-
      Dourada fresca,"0,009",-,"0,004","0,006",-,"0,194",-
      Jaraqui fresco,-,-,-,-,-,-,-
      Lambari fresco,"0,031","0,025","0,011","0,035","0,096","0,036","0,021"
      Mapará fresco,"0,001","0,003",-,-,-,-,-
      Piau fresco,"0,009","0,002","0,016","0,015","0,005",-,-
      Surubim fresco,"0,006",-,"0,013","0,007","0,018",-,-
      Tambaqui fresco,"0,242","0,222","0,271","0,250","0,241","0,267","0,186"
      Tilápia fresca,"0,303","0,246","0,282","0,410","0,226","0,264","0,467"
      Traíra fresca,"0,038","0,027","0,021","0,073","0,024","0,078",-
      Tucunaré fresco,"0,014","0,013","0,012","0,024",-,-,-
      Outros pescados em filé congelado,"0,017","0,013","0,015","0,002","0,050","0,014","0,104"
      Outros pescados em filé fresco,"0,009","0,001",-,"0,004","0,021","0,077","0,119"
      Outros pescados frescos,"0,150","0,137","0,233","0,130","0,097","0,064","0,107"
      Outros pescados salgados,"0,012","0,015","0,010","0,016",-,-,-
   Pescados não especificados,"0,703","0,826","0,647","0,720","0,497","0,519","0,231"
      Peixe em filé congelado,"0,007",-,"0,016","0,003","0,025","0,017",-
      Peixe em filé fresco,"0,004",-,"0,007","0,009",-,-,-
      Peixe fresco,"0,689","0,826","0,624","0,704","0,448","0,502","0,206"
      Peixe salgado,"0,004",-,-,"0,004","0,023",-,"0,025"
Aves e ovos,"18,811","16,782","20,229","19,705","19,476","18,982","23,463"
   Aves,"15,046","13,665","16,218","15,878","15,040","13,907","17,389"
      Asa de frango,"0,226","0,171","0,176","0,275","0,316","0,202","0,607"
      Carne de frango não especificada,"0,696","0,705","0,707","0,737","0,595","0,714","0,384"
      Coxa de frango,"1,085","0,672","0,928","1,272","2,139","1,654","2,169"
      Dorso de frango,"0,033","0,026","0,063","0,015","0,035",-,"0,097"
      Frango abatido (inteiro),"10,521","10,608","11,995","10,926","7,775","6,381","7,175"
      Frango vivo,"0,188","0,249","0,181","0,118","0,158","0,188","0,171"
      Miúdos de frango,"0,108","0,108","0,110","0,085","0,078","0,336","0,111"
      Peito de frango,"1,985","1,031","1,837","2,240","3,562","4,058","5,956"
      Outras carnes de frango,"0,068","0,042","0,056","0,097","0,107","0,077","0,115"
      Pato  inteiro ou em cortes,"0,015","0,005",-,"0,008","0,007",-,"0,338"
      Peru abatido,"0,034",-,"0,032","0,068","0,105",-,-
      Peru em cortes,"0,075","0,035","0,107","0,035","0,163","0,299","0,187"
      Outras,"0,013","0,012","0,026","0,001",-,-,"0,079"
   Ovos,"3,765","3,118","4,011","3,827","4,436","5,074","6,074"
      Ovo de galinha,"3,745","3,112","3,986","3,807","4,390","5,037","6,008"
      Outros,"0,020","0,006","0,025","0,020","0,045","0,037","0,066"
Laticínios,"20,061","14,822","19,979","20,773","28,466","32,704","41,780"
   Leite e creme de leite,"16,469","12,994","17,223","16,844","21,650","22,894","29,094"
      Creme de leite,"0,292","0,142","0,227","0,350","0,463","0,691","1,170"
      Leite condensado,"0,408","0,186","0,331","0,469","0,649","1,512","1,257"
      Leite de vaca fresco,"6,217","5,917","7,985","5,888","6,252","2,907","3,515"
      Leite de vaca pasteurizado,"6,741","4,665","6,158","7,106","10,303","14,136","15,384"
      Leite em pó desengordurado,"0,125","0,061","0,101","0,119","0,167","0,407","0,702"
      Leite em pó integral,"1,853","1,533","1,874","1,944","2,483","1,879","3,095"
      Leite em pó não especificado,"0,188","0,155","0,181","0,177","0,236","0,173","0,619"
      Outros,"0,645","0,335","0,366","0,791","1,097","1,188","3,353"
   Queijos e requeijão,"1,556","0,715","1,096","1,633","3,181","4,971","6,325"
      Queijo minas,"0,673","0,393","0,470","0,700","1,163","2,146","2,375"
      Queijo mozzarella,"0,421","0,138","0,292","0,498","0,950","1,428","1,611"
      Queijo não especificado,"0,090","0,057","0,074","0,094","0,133","0,207","0,312"
      Queijo parmezão,"0,035","0,009","0,018","0,023","0,085","0,118","0,344"
      Queijo prato,"0,118","0,051","0,090","0,129","0,265","0,303","0,455"
      Outros queijos,"0,056","0,013","0,022","0,049","0,195","0,136","0,424"
      Requeijão,"0,163","0,055","0,131","0,140","0,390","0,632","0,804"
   Outros laticínios,"2,036","1,113","1,660","2,296","3,635","4,839","6,361"
