"Alimento", "Até 1 908 (1)","Mais de 1 908 a 2 862","Mais de 2 862 a 5 724","Mais de 5 724 a 9 540","Mais de 9 540 a 14 310","Mais de 14 310"
      Refrigerante de laranja,"1,049","0,692","0,932","1,105","1,200","1,515","0,844"
      Refrigerante de limão,"0,689","0,241","0,245","0,695","0,713","1,566","1,374"
      Refrigerante de maçã,"0,032","0,009","0,077","0,044","0,011","0,006",-
      Refrigerante de uva,"0,216","0,216","0,318","0,155","0,155","0,377","0,254"
      Bebida energética,"0,206","0,033","0,038","0,160","0,372","0,304","0,568"
      Refrigerante não especificado,"1,675","1,373","1,177","1,538","1,739","2,954","2,349"
      Outros refrigerantes,"0,706","0,234","0,474","0,706","0,535","1,152","1,915"
      Suco de fruta em pó,"0,275","0,250","0,279","0,300","0,345","0,184","0,132"
      Suco de fruta envasado,"3,003","0,827","1,271","2,216","3,924","6,382","8,112"
      Outras,"0,841","0,172","0,119","0,666","0,592","2,783","2,779"
   Cafés,"2,692","2,282","2,332","2,762","2,613","3,019","3,654"
      Café moído,"2,529","2,171","2,228","2,627","2,500","2,769","3,140"
      Café solúvel,"0,040","0,008","0,021","0,019","0,048","0,099","0,148"
      Outros,"0,123","0,103","0,083","0,116","0,065","0,152","0,366"
   Chás,"0,213","0,096","0,060","0,145","0,142","0,225","1,162"
      Chá-mate,"0,131","0,060","0,054","0,107","0,083","0,121","0,620"
      Outros,"0,083","0,036","0,006","0,038","0,059","0,104","0,542"
Alimentos preparados e misturas industriais,"5,118","1,765","2,713","4,258","5,994","8,528","13,953"
   Alimentos preparados,"4,861","1,650","2,448","3,961","5,674","8,323","13,723"
      Alimento congelado,"0,524","0,121","0,260","0,617","0,337","1,651","0,625"
      Batata frita,"0,199","0,103","0,118","0,187","0,274","0,289","0,316"
      Carne-assada,"0,066","0,013","0,021","0,021","0,092","0,193","0,255"
      Frango assado ou defumado,"0,717","0,428","0,349","0,838","0,748","1,146","0,914"
      Frango empanado,"0,110","0,084","0,070","0,168","0,103","0,055","0,060"
      Massa,"1,018","0,269","0,205","0,592","1,469","0,974","4,773"
      Refeição,"0,873","0,261","0,935","0,634","1,288","1,102","1,682"
      Salgadinho,"0,302","0,106","0,117","0,297","0,224","0,485","1,014"
      Sanduíche,"0,123","0,066","0,030","0,052","0,121","0,117","0,718"
      Outros,"0,929","0,198","0,343","0,555","1,018","2,311","3,367"
   Misturas industriais,"0,257","0,115","0,265","0,297","0,320","0,205","0,229"
      Mistura para bolo,"0,248","0,113","0,245","0,291","0,305","0,203","0,219"
      Outras,"0,010","0,002","0,020","0,007","0,015","0,003","0,010"
Outros produtos,"0,005","0,001","0,007","0,004","0,004","0,006","0,017"
