"Tipos de despesa, número e tamanho médio das famílias", "Despesa monetária e não monetária média mensal familiar (R$)", "Total", "Até 1908 (2)","Mais de 1908 a 2862","Mais de 2862 a 5724","Mais de 5724 a 9540","Mais de 9540 a 14310","Mais de 14310 a 23850","Mais de 23850"
   Bebidas não alcoólicas light e diet,"0,31","0,13","0,20","0,40","0,23","0,08",-,"3,16"
   Cervejas e chopes,"14,79","4,45","7,88","13,29","19,26","29,94","42,83","47,37"
   Outras bebidas alcoólicas,"5,43","0,82","1,65","6,15","3,70","18,20","11,42","22,58"
   Outras,"13,48","6,26","5,69","11,50","15,25","29,52","27,58","72,10"
  Enlatados e conservas,"6,00","1,50","3,19","5,29","9,42","9,72","12,65","28,00"
  Sal e condimentos,"13,58","8,49","8,20","13,18","17,18","21,77","24,41","33,63"
   Massa de tomate,"1,47","1,28","1,29","1,56","1,84","1,24","2,02","0,32"
   Maionese,"1,94","0,41","0,75","1,94","3,30","3,94","3,20","6,06"
   Sal refinado,"0,65","0,77","0,64","0,58","0,46","0,74","0,80","1,51"
   Outros,"9,52","6,02","5,52","9,09","11,57","15,86","18,39","25,75"
  Alimentos preparados,"13,85","2,52","6,98","15,19","21,70","24,72","25,46","34,87"
  Outros alimentos,"59,15","29,34","22,43","59,90","77,11","92,18","149,73","198,16"
 Alimentação fora do domicílio,"193,66","47,62","87,45","153,61","274,84","408,84","557,16","908,36"
  Almoço e jantar,"134,83","30,90","52,30","95,16","187,26","316,88","413,64","756,59"
"  Café, leite, café/leite e chocolate","1,73","0,25","1,42","1,54","2,22","2,68","7,59","2,68"
  Sanduíches e salgados,"19,43","5,44","11,09","20,48","28,91","27,06","47,49","49,23"
  Refrigerantes e outras bebidas não alcoólicas ,"5,47","1,60","2,89","4,61","10,22","11,03","5,97","18,47"
  Lanches,"12,86","2,82","8,61","11,47","19,79","25,05","33,34","27,48"
"  Cervejas, chopes e outras bebidas alcoólicas ","7,62","3,06","3,73","7,13","9,64","10,62","29,13","22,28"
  Alimentação light e diet,"0,06",-,-,"0,09",-,-,"0,17","1,21"
  Outras,"11,66","3,55","7,41","13,13","16,80","15,51","19,84","30,41"
Número de famílias,3961208,766083,731285,1288501,619936,301827,157585,95991
Tamanho médio da família,"2,85","2,45","2,52","2,98","3,20","3,12","3,31","3,05"
